Interface ID,Surface ID,Total atoms,Lower hkl,Upper hkl,Lower area,Upper area,U misfit (%),V misfit (%),Angle misfit (°),Area misfit (%),T_0_1,T_0_2,T_0_3,T_0_4,T_1_1,T_1_2,T_1_3,T_1_4
30,2,1048,110,111,290.493484,284.670620,2.246515,3.887001,0.771651,2.004473,-1.000000,1.000000,2.000000,3.000000,2.000000,0.000000,2.000000,2.000000
30,3,1048,110,111,290.493484,284.670620,2.246515,3.887001,0.771651,2.004473,-1.000000,1.000000,2.000000,3.000000,2.000000,0.000000,2.000000,2.000000
30,4,1048,110,111,290.493484,284.670620,2.246515,3.887001,0.771651,2.004473,-1.000000,1.000000,2.000000,3.000000,2.000000,0.000000,2.000000,2.000000
31,1,1188,111,001,323.096960,323.368129,1.798948,2.029439,0.147452,0.083928,1.000000,2.000000,3.000000,1.000000,3.000000,3.000000,5.000000,-2.000000
31,2,1188,111,001,323.096960,323.368129,1.798948,2.029439,0.147452,0.083928,1.000000,2.000000,3.000000,1.000000,3.000000,3.000000,5.000000,-2.000000
31,3,1188,111,001,323.096960,323.368129,1.798948,2.029439,0.147452,0.083928,1.000000,2.000000,3.000000,1.000000,3.000000,3.000000,5.000000,-2.000000
31,4,1188,111,001,323.096960,323.368129,1.798948,2.029439,0.147452,0.083928,1.000000,2.000000,3.000000,1.000000,3.000000,3.000000,5.000000,-2.000000
32,1,2292,111,010,646.193919,638.703763,3.097309,1.910771,0.787167,1.159119,-2.000000,0.000000,-3.000000,-5.000000,1.000000,2.000000,2.000000,-9.000000
32,2,2292,111,010,646.193919,638.703763,3.097309,1.910771,0.787167,1.159119,-2.000000,0.000000,-3.000000,-5.000000,1.000000,2.000000,2.000000,-9.000000
32,3,2292,111,010,646.193919,638.703763,3.097309,1.910771,0.787167,1.159119,-2.000000,0.000000,-3.000000,-5.000000,1.000000,2.000000,2.000000,-9.000000
32,4,2292,111,010,646.193919,638.703763,3.097309,1.910771,0.787167,1.159119,-2.000000,0.000000,-3.000000,-5.000000,1.000000,2.000000,2.000000,-9.000000
33,1,900,111,011,258.477568,257.438060,2.898802,4.795911,4.845853,0.402166,2.000000,1.000000,0.000000,2.000000,1.000000,1.000000,5.000000,0.000000
33,2,900,111,011,258.477568,257.438060,2.898802,4.795911,4.845853,0.402166,2.000000,1.000000,0.000000,2.000000,1.000000,1.000000,5.000000,0.000000
33,3,900,111,011,258.477568,257.438060,2.898802,4.795911,4.845853,0.402166,2.000000,1.000000,0.000000,2.000000,1.000000,1.000000,5.000000,0.000000
33,4,900,111,011,258.477568,257.438060,2.898802,4.795911,4.845853,0.402166,2.000000,1.000000,0.000000,2.000000,1.000000,1.000000,5.000000,0.000000
34,1,1976,111,110,581.574527,555.854477,2.953841,0.537457,2.892334,4.422486,-3.000000,0.000000,1.000000,3.000000,4.000000,0.000000,1.000000,2.000000
34,2,1976,111,110,581.574527,555.854477,2.953841,0.537457,2.892334,4.422486,-3.000000,0.000000,1.000000,3.000000,4.000000,0.000000,1.000000,2.000000
34,3,1976,111,110,581.574527,555.854477,2.953841,0.537457,2.892334,4.422486,-3.000000,0.000000,1.000000,3.000000,4.000000,0.000000,1.000000,2.000000
34,4,1976,111,110,581.574527,555.854477,2.953841,0.537457,2.892334,4.422486,-3.000000,0.000000,1.000000,3.000000,4.000000,0.000000,1.000000,2.000000
35,1,1744,111,111,516.955135,498.173585,0.261316,4.343246,1.422860,3.633110,-2.000000,0.000000,-3.000000,-4.000000,2.000000,1.000000,5.000000,-1.000000
35,2,1744,111,111,516.955135,498.173585,0.261316,4.343246,1.422860,3.633110,-2.000000,0.000000,-3.000000,-4.000000,2.000000,1.000000,5.000000,-1.000000
35,3,1744,111,111,516.955135,498.173585,0.261316,4.343246,1.422860,3.633110,-2.000000,0.000000,-3.000000,-4.000000,2.000000,1.000000,5.000000,-1.000000
35,4,1744,111,111,516.955135,498.173585,0.261316,4.343246,1.422860,3.633110,-2.000000,0.000000,-3.000000,-4.000000,2.000000,1.000000,5.000000,-1.000000
